rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
,Ralphs Luncheonnette,CoQBdwAAANbnYU9Jy7TOdsXOh7JhoA_30oFvBGkkqYyCa36UJgmRjE2xp0ak9stmFJRNA4EVJ5j2oSFhOOTwev2697TaWPMPRNpTrc719J5-YYLz2ccvN_2mrVpQBUQ3_4nWBkSKQxPlAKoocoDiXADNUrvo_K5U5PBU6Jdvb7nblDjNxZuGEhDcmRBV4KYdh_7l8TH8RG3iGhRl2pjCds7zCTV1HuLPHzSR0Xy2-g,,40.714638,-74.009748,,"71 W Broadway, New York",,fcc447689e20d50b98bc111abaa127609ff913c4,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.7,'wichcraft,CnRsAAAAh0jiSch_R3CEoJ4m77GVigVBwPe_aSMQu9jbM3Jubv_Vz70kqDsBKpdZi2Cv9bNgvOWwy09bRyKjFWwzq1rjyMQ7TDA-UujPiM-rJy01HyYAUkreWqj5UECBX2NS0EOb7Fr9W4kpGBP7H06Xi_QquxIQxtSyUWuhIBiH7Dds06CWjRoUqcG9RF07y2sowp3qs4X0IyDoss8,,40.754181,-73.983993,{'open_now': False},"11 W 40th St, New York","[{'height': 1356, 'html_attributions': [], 'photo_reference': 'CnRnAAAAE9S0Q8ub8iWx9U5eSsKj6uNiLCYkCkJU_qnuzPRZDBjNlmtby2MJ9-nzluysCNYtQC7K76muMC6gcaYB_KTvKY7ooswPgR0j8apIipshplfzLqw7MwBsN-kdYdY6Ivq5J7st5m9sn0YrSZyQbaoq6xIQ2-cYJ4VlOIDosgm4oCeq6hoUQUD3nx7fj-Syt0BWoOlH3G6xKZM', 'width': 2048}]",5fbd256089755efb41ee5c3118b9f0cb77961ce9,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Caffe Bacio,CnRtAAAAKuOy4hmx8bPMJobdbRp40ncUDofalhCq8ePToJaIEoyoyomjdSxp7LZrMd-E4OA9glR7m0FnZpPKyB1pWg_PW_uOobW_1-UNwNT3hZHw7JbVIKIsCofxlN6bBu72GcHPG7VpcPUUPYWMEZVpgsyQWBIQmvL1Jyemoqw_OG0X4qgchxoUz2cgo6rnPCrrQnv8FjmLNQWdVEs,,40.768698,-73.961122,{'open_now': False},"1223 3rd Ave, New York","[{'height': 1600, 'html_attributions': [], 'photo_reference': 'CnRnAAAA5OOqojMpj4B_V1Cgmf8ykMdp8Y4v90Ps1B7VyJ7pkh6gDWbw7b4l09fHgbr2EFoWlUMXjV4Igv34SpBvDLw9MLLTX14r960F8v1CkWIB8F0xXAw7kl8cGfMeFLSsDCi74J5eI6s5xZDNwwZqcrKvDBIQuknyFgXwVJ_3tBP3lIo8ZhoUOOcTf5XZZ8-S_iSmjiVfJTRpt7Y', 'width': 1969}]",ff34de46f64925c381e00699c136486fb1e28f23,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Dunkin' Donuts,CnRwAAAATNdqWkszghtmg36C82LwOObmGXcWBxVluqXxt0pt4nFmC1An3DJBbV9HM14CzKm6U4RrS4uX--OuZZXsTjt8RtHC8An9x3WTfjKhW2mEY2R6g5HHlcBj5Ftk4Ox2v2Tpuh8a5MzNlNmT7-aSoA3G3hIQcPFzIlF43teOd8wWozWRlhoUOQnbJkXarQx4L0zmzGzeRDirqoY,1,40.742488,-73.869744,{'open_now': True},"9403 Corona Ave, Elmhurst",,3180ff5318d235ed505a1cf2eea9d0129c0b9bf4,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Kamal's Cafe,CnRtAAAA9lp8FKZY8FQuagNVBFcfm4AMe79Z4AL-ht8p8HOArsCI2L5OI-gTSSUUzRQC0wv0QaHQ599P2G3VQlrMRWbOEztjXDbApVGvAQ_7POvKPjYSlDSMlGAogCJjen1roHahsUom0qn6N2pUMX8T4ApSIxIQqGfDietPhkq2aW5Cyky5_BoUEsQkwkz6DlHk11RbYxhP34V_n-8,,40.728209,-74.005752,,"201 Varick St, New York",,a32c989fe35ce516236a0530e7f3a0217cf07f14,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
4.3,Lady M Confections,CoQBdAAAAJb2MfBHcfvYeu6tXaH92P2kWv47ObDMHsBhM6PyWvtiRQ43VG8Ko3T7A-SGOadqrK9oXSPB_iGSfmyk8IPaH3q9RkPgji7oI6yGFegZ3-B211HbEH9i8Y8NmnLXcJl1gTZ3hirMjVlUYGU5TMLdTP5nKVEKwYQTiwKykKg4u5Z0EhDWAq_AuySgnzHeyXyg7znrGhRSRsbleDYcb16OI08mDuchct38nQ,1,40.775597,-73.962197,{'open_now': False},"41 E 78th St, New York","[{'height': 600, 'html_attributions': [], 'photo_reference': 'CnRnAAAAYu3AWd1WzHkaRL8DIyvdjt-PPJ6Y93D8xoA-HBx50Gp8SOH_su7uMHLye5gIQESuj3yWfRI-DHEXONnBztDCQ7ZB01mtp5OVoHHDPi3TXjuwxVBkHcsdubswjlScsb-KqBEa8cXNPe2lLHZ9DvZsTBIQXUoa5qH46jB8XbCBRdoYShoUbTHYf1Kn1Zrq2cTxnYfSLm8HVbY', 'width': 800}]",0b1f0cc72adaf9665c54e3765288f08e1776a1f6,"['bakery', 'store', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Dunkin' Donuts,CnRwAAAA4ew9wOW4aZmEuzPIeuMiTpetPsO80PqiTJYSa-WqZfc39g1FGnTcQucQW2eUCimf9ptpqZL9PBAuAln2QI3u_3J86SNLlXEDPXU3VnsjH995rOA0Gojcvgnygf5VzR0PAYj9VGZnbH_1lMzuViJcvhIQUNvTpYUy7sbgVjBFlAcL8xoUnrXmP1NOXhGtj_1O1Q5K46zgt-A,1,40.824352,-73.892137,{'open_now': True},"1040 Westchester Ave, Bronx",,f573242e58f77a4b1883ef4178fb5ce444ed5de8,"['store', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Galaxy,CnRoAAAAWxyIT-Wrr7MLwX7RVndGCzUyzsoPA2dSU6rDEZSwMbK82bhaIXwzCDsi5o0W2gHkp8kJ9Yq8b7j5__F4Bl_xpgP3KjaHlle7GjBUg2pKqvcxNHqsqiEhO1RX3pQzuzE4YDXSDhk83aL_OXw7V7oF_hIQ8R9Ol-vpLakST0MVjgQ10hoU88Ue1FKrB74ao2m7hLWmJUZr9gg,,40.593154,-73.947545,,"2223 Avenue X, Brooklyn",,ae76a10408390a94bc435f9f0ccddcf7dfae6e78,"['store', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Tache Artisan Chocolate,CoQBegAAANfPC3kIEzuDzdHGD5NZ30_bnwYWR_RBNp5xzO-Y0JWcwNAhAd5uQA_XFfFBFR2BndV3elV803e9-EyPJULcOjnOdr-407avDIXU_lLdJ2A9m1bEGbtpj4lWgLKS9wpOjDWUKxNUS26MG0lsM_IpYmZy-rRrfNMiwHjmNZY9-r99EhAfqCEt0RhRmkto04zOw2q-GhRxdKjJze_WZJar2WCcBYoUvcjdaA,2,40.718163,-73.989952,{'open_now': False},"254 Broome St, New York","[{'height': 3264, 'html_attributions': ['<a href=""https://plus.google.com/106111748958700549590"">Raffi Asdourian</a>'], 'photo_reference': 'CnRqAAAAa-ZD8anNaEuk56JeoSNBgw33M4daJhPPOsaImonW9hC6nPRbSogsRtrMUoFdOZrnd4h9da-f8Xardu22F5R6Rhbu60jM5ePAZ2G29Qw2crvJN2u13B9mrPUsUN8EWb_8e3Z1APxlaDa1Q4K5vy4u0BIQzYS1fyoJKILxVF5JcIMSOxoUvfZkyTDBoWXEmHnclNo9AzTOrhc', 'width': 2448}]",361d0be2548927f15e23e5212caa8b8d82268037,"['store', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.4,Cafe Metro,CnRrAAAAuesW3E0dfVIAOPULR0shFFlbaaw5YTtanVURBzps2giQDMm-ODDCPlpLczgttUO4BXKHBM7qkA0MQv5AdRqbaqyiFNEAa2lPvUbXLW5uzpR5kYiJCWAnQutOFJ3hDLZbJRYCb59QrgfzVTKzuytsrxIQAI5okjwXF9RkI6ug86RMZxoUBUBR3kMWvkpDVo73xNvYQxoe5EE,2,40.765496,-73.980939,{'open_now': False},"200 W 57th St, New York","[{'height': 1224, 'html_attributions': ['<a href=""https://plus.google.com/103798510455071493151"">Kevin Fusco</a>'], 'photo_reference': 'CnRnAAAAqNB1DOX4WLnfQ1mP4kKhmUx7720fWLkOZZYUyQHSE2kOuWF_1hOdhY3oWCvXRUbbVOUk_cibaZRdKqpcku95SKavC2UEqWgEIiunUuZm_pWqg__Lj-N0MoyQ7lIlZETdR_bFfCeFW5NExMuRQXV-2RIQHw50rn9Y2-jcnAVF0zrnVRoUKRbJs8TCjqFB6WJVYFlYin4OoKE', 'width': 1632}]",82d4634ac1df049528242f49c2dce3114ea4755e,"['store', 'cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
