rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
,Kafeneja Jone,CnRvAAAAXvFlqa6NqGmSKOXygIiNhsLsVaih_djwKN0LYNPuRWDwQx777lqzSrphgkMhiUK-QdYqj_sGEsN4UilzHaQ5pjhnrPVxemKnW-sbnp9TjdyPtjc4lplujupKdQo-NzOUrflPnQJaC509B_bP_lmWUhIQwRGhbzOW3eD-JZIYfugMKBoUGKWpiBzUYsVJQs3Tm5XbDxnTIqc,,40.594547,-73.973813,{'open_now': True},"2364 McDonald Ave, Brooklyn",,e216ab3bc93127f5b70565dde785766c4783c304,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.9,Starbucks,CnRrAAAAYmXFfhem6iBGwLULMvgKfkQCo7VF3V4x6ahg27SxxvdDN48-PusqjgUswjaIpz05Rqb2k-I8uwSrPYdbcl3YSy1ly_Tw4eIGtkyoh70RzqmatRuGAS5Hlo8-gyUwdXtai5Tqtv9qVQcHVp86mPqPOxIQpT4Ii2AAQNInMDRrjvwtYxoUVosLKgmIUsO4XYkg9X64pnXfpqw,2,40.733202,-74.00276,{'open_now': True},"72 Grove St, New York","[{'photo_reference': 'CnRoAAAA_UC8oo2g5Qsa-fSTtNrkWuRwlmups9wjw-rhu8_RdcKfrCmgcPWp8VM_EipQUjpEHwnh_zVXOdFh58Y2yGBK5sv6XJFzx43EF-YSfmTnR5oUTvAeIs-iRi_afCyq2rdDkxR0WH8VQ4taPhR3v7GCgxIQrcwHDIKs0Apr9dOCb3-xBxoUR00LKS5W0ode5in-I2nmSnTrN94', 'html_attributions': ['<a href=""https://plus.google.com/111228072275269774734"">Norbert Kurpiers</a>'], 'height': 2048, 'width': 1825}]",59fb4bd771b99f8a627f850a0dd0f6b960bc99ac,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
4.3,The Local NY,CnRuAAAAVTPXwp0aVgsYtBqzqQEAgZL1FDWYGvj1KRo8KNdgdI_2_q18ZdDj1WJNnaWJOdgCysj_QryB6N0n9ROZuo6IADlW1dNDo-krX9PyUpGC530X4Jx4L6aiHDJ5y2-8dMEvZkTfxTpscb2Uzw6QXmofjBIQdRnkuAIesaapVUP4bhUOVhoUmvm9Rg3Y_33nBwayE_Yvn28lYNQ,,40.749597,-73.947589,{'open_now': False},"13-2 44th Ave, Long Island City","[{'photo_reference': 'CnRnAAAAMxup0abUb-qGV0JvDERdtpHqwyKuiJP9H0o9X2jhpCmal1VQ9G2IKLdW-M4ddasQUss_BQ8gVLk92-lh7JZXHzrt-xYKbDcGYbpmQjgqefeliORqjaaJ1DysP56YSGctoPl4T08sdi7jrz0WH9QyqxIQT0xcuP2KMd3DhAZEgsjqnxoUFNlYaXiMjdhQyFXRM5e6ftxwZFE', 'html_attributions': [], 'height': 1365, 'width': 2048}]",88949939280e9c7d11a6eb1a80a73f90c87a701d,"['cafe', 'bar', 'lodging', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.8,Lenny's,CnRqAAAAHlQUyzmEJXEsadaQFIr5Q5ojBjFWMrjrHtZdoVY6eamk5y0fH1Oh5iO7qaCjleGNfvRgMJbagKJsFU0yOJLDQUhOnjN2iT4ABLk4Th3VG5H0L2J2Nwy0XFbFo8UjAU1exCzKmvHOFKLnkubdpeXkwhIQeZqPF-dVeMsu1uhoyWJAERoUlOZlWXwOcPSOF1ELbhUp5grboIU,1,40.734015,-73.99905,{'open_now': True},"418 Avenue of the Americas, New York","[{'photo_reference': 'CnRoAAAA-7IYEbVkYSp-QQsT0mQBopFJmdX4ATYE-_TmPk4wJ0mant8gAQzfbLbVPB53RdjMHYldL8DOJeEfsYUiI0Bg-F_xqQY4QceztgLmJFpnfNRX23bsAslQo8eMOONi-1TI4jPHhrJrp-ZcNDTtZ2dznhIQkJ5HUyfvGJNjL-5gs-sqlRoU3sbo5JiBZRld3lbLemefJrvLvqI', 'html_attributions': ['<a href=""https://plus.google.com/115219385039889593496"">Walkertwentyfour NYC</a>'], 'height': 648, 'width': 1152}]",90d83e293d9e76c6d179ff639999837d14a024c3,"['bakery', 'store', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Starbucks,CnRqAAAAu9C80TdDi43cllipBMpuc6ln3Q1NP5GTjH8y7dNk5XmzSQbIAYP0xDvheIRXl5SAB5dKqq1BHuB5keDKt09_uGV-ayUj6yu4IbgacpN_q85Fk_JXdtRFcZDs7m9MI7nkU9AkOzOwuspRpkWiVPYWsRIQV9PAIWSxRT8r3K-4YvKdyBoUxy3aVQveIiP4GL-DNgcjANm8Klw,2,40.741353,-73.69843,{'open_now': True},"653 Hillside Ave, New Hyde Park",,6069b42a16afa2684144ba46da2d4b3523266a19,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.7,La Parisienne Coffee House,CoQBewAAAHdOdyNHVoGw4PWwi2Uag3Jtjba-6-t3Dzqel2M7aKQlrRS86v0RA3T_Sq2uT-ziq5vDtMy46GNANRq5Vj4KWuH_034ZgH0KgnkFp3eyIjoLl-kDMzL8UTXa97-cm00X8HIlGakoSd4YjPspwB-Sp4R3S9WVvJuVIuoV8QiTiCfhEhCSQYo69t9x-cgKZuhRBPp8GhRGa1OrDYFoa2T-jK4JLUZHcEFgHw,2,40.766038,-73.979928,{'open_now': True},"910 7th Ave, New York","[{'photo_reference': 'CnRnAAAAZP4j1C_7Ou4I7NOiWqVQhtBxV0Rb_MT9kXsSHDrdT_dieMUpQ13f_ufTx5OtU6mYRR-qpSP-2afl2uLKLrshpyuK2VXzU0Lpg6q6NkXdankvgQ24BkCxcr1Zty2cvQlXpJkOzySBRzB59YfLWVuLChIQddu1_-HEKdnI8lmh6AzcKxoUJldppLfaPPhxhMCH5xJWvXm8pGw', 'html_attributions': [], 'height': 2844, 'width': 1600}]",d3e761406e7fdeff7f8f3040b13505cb15bd5fcc,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Le Pain Quotidien,CoQBcwAAAOfds9ExC0NEnj8nkpNV0knkaXcOOxT9_jR5Cc2FSYfvS7syLZz6O5AHKw1mhnYwNr4VDLjiH5yGOe_pRL0jYzYYZIg_9PxkoJm2691zX2K2mNhFJKYHuGnG_D9RlGmeq_X5Py7GOWD1GrbGMm2HQshAgXmh415zMeZ-XWnp96lGEhAYszRz4XgodL0VjE_5l9GdGhThjb3Wk4zRDoiBtDWFGC88EO2sKA,2,40.721462,-74.001637,{'open_now': True},"100 Grand St, New York","[{'photo_reference': 'CnRlAAAAAHo3KrRQTUo9spbt1wLFsASPAb-_A3iSEVF6Ln7d_sJm6upB3_umIbWEBRtDVIlyqXkXLsBm6BxHBniN0pibttJVoA_3O3WiwsAf0uDk7NvH7fVRRB50yJScM09TIaEVUVa6uU1iMyNFSi9OUHHeXhIQizoPTPvvn7Z-05T4mS4h4xoUPs4ga6i4r8HtPfT3Cu-62l2NeNo', 'html_attributions': [], 'height': 120, 'width': 92}]",34fb19ef6d1416537ab50834e8232a7ea6266d05,"['bakery', 'store', 'cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
3.7,Cobble Hill Coffee Shop,CoQBeQAAAM8is-58PpZiScPFC_VmxghqwaZJ8vUZc7AfIxGwfnkn755NEQS4A9wH-uHgY-ibODoYdjDqz6emu3l2e0dAP2N0u9E2kqn_f5BhQOsyEFByElquPn3CWdJ77dujqw9hy7qY_GZMwdeimVBc3VwOSlWlG5lFvE994v84Oba21TANEhCzzZCbaLWS0emfrCAPA6KQGhTixGZTOddPTNC0R_F8fQTZiRtPpg,1,40.683458,-73.995596,{'open_now': True},"314 Court St, New York",,2f25d89cd944b0a7612f3be95cf43bbf04685b41,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Friend's Coffee Shop,CoQBdgAAAKKJ-vbwEIjzOc3YPhA7un5LzKZDMrGv9xYrrvBi9mJSn58f9VHln8GQ9Jbi2X1poC0oH6pcLYljAUFDM2-JNyMAf6DeRjohwsy2FXu_gbYZzjGtBrfu17GfNxn6D-dAJubYo_P01Gro1lMlyON8YygSSvjoh7Za1H1UqOatV_pHEhBwwHz9FZWFiYBPCAiASmg2GhQvG-F6j7E7_l9kVbZ4Owg8ok8v6Q,,40.715058,-73.831626,{'open_now': True},"11817 Queens Blvd, Flushing","[{'photo_reference': 'CnRoAAAAWh6IiOTpr7SfU6wf0J88-MZEGaSZC12CPJAg_0T0Q3OtIXv6tEJnG87Bsucq9g0tc8OgnYLWJX1cuckjMuuCsq72sT5r32uepuKhzqIFmLW8wcA6m1UlU2P9_d3KkBOeESlACkO7dd6xzwgNiAaLzhIQk60p5VRqt_thaqB8oTe9gBoUPOSvosL1zzQ8X-PefujlbXlp7yc', 'html_attributions': ['<a href=""https://plus.google.com/105055915458710622906"">Walkernine NYC</a>'], 'height': 648, 'width': 1152}]",11caa6a3fe0fd01f3682a61ec63c703fb5ef338a,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Star's Café & Hookah Lounge,CoQBfgAAAOvbH-oV8bbmnk11bi4fBmqsgJGwCpmMwW5B-2mUNMjvHCPdodUZh7tKI2hbz7rZAduJsbhszmN6QNZpSpYo94q3QR_zShkGppJ7nFMUQhaIjeC65ZYpWBxcmgpl2JQP60J8O39cQX4X5FRWcDWVW1Y3mnsZ6Mei2fYaTDIV1Ak3EhBxsyIiZ7Ly5YTCTzdOOfPXGhQAGXHO3nEexcUsSKmUGtPm7AIRAA,,40.632317,-74.021611,,"7130 5th Ave, New York",,add37a22829a2c859a4109f75b8e1a8a5dc878c1,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
